Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22,F,College,50000,A,81,Medium,8,Law,Private,Low,High,Yes,Medium,Low,High,Negative,Medium,39,Yes,6,Unhealthy,Low,3,Yes,Neutral,No,No,Visual,Yes,No,Low,2,High,B
21,M,Graduate,60000,A,81,Medium,12,Law,Public,Low,Low,Yes,Low,High,Medium,Negative,High,75,Yes,5,Healthy,Low,9,No,Negative,No,No,Auditory,Yes,Yes,Medium,5,High,B
19,M,College,75000,C,93,Medium,12,Law,Private,Low,Medium,No,Low,Low,High,Positive,Medium,46,No,6,Unhealthy,High,7,No,Neutral,No,Yes,Auditory,No,No,Low,2,High,A
21,M,College,60000,A,86,Low,15,Business,Public,Medium,Low,No,High,Medium,Medium,Positive,High,41,Yes,5,Balanced,High,9,Yes,Neutral,No,Yes,Auditory,Yes,Yes,Low,3,Medium,C
19,M,Graduate,40000,A,89,High,15,Medicine,Public,Medium,Low,Yes,High,Medium,High,Negative,High,41,Yes,4,Unhealthy,Low,9,Yes,Positive,No,No,Auditory,Yes,No,Medium,3,High,B
19,M,College,40000,C,82,Medium,14,Law,Private,High,Low,Yes,High,High,Low,Negative,Low,41,No,8,Balanced,Medium,6,Yes,Positive,No,Yes,Auditory,No,No,Low,5,High,C
20,M,Graduate,40000,A,84,Low,13,Law,Private,High,Medium,No,Low,High,High,Positive,High,82,No,7,Healthy,Low,5,No,Negative,No,Yes,Auditory,No,No,High,5,Medium,A
21,M,College,40000,A,75,Low,5,Business,Public,High,Low,No,Low,Low,High,Positive,Medium,38,Yes,5,Balanced,High,6,No,Positive,Yes,Yes,Visual,Yes,Yes,High,6,High,A
19,M,High School,75000,C,73,High,10,Law,Public,Low,Low,No,High,Medium,Medium,Positive,High,52,Yes,5,Unhealthy,Medium,2,Yes,Neutral,No,No,Auditory,No,Yes,Low,4,High,B
21,F,Graduate,30000,A,81,High,6,Arts,Private,High,Low,Yes,High,Medium,High,Neutral,High,41,No,6,Balanced,Medium,2,Yes,Negative,No,No,Visual,Yes,Yes,High,2,High,B
22,F,High School,75000,C,81,Low,9,Engineering,Private,High,Low,No,High,Low,Medium,Neutral,High,41,No,5,Unhealthy,High,7,Yes,Neutral,No,Yes,Auditory,No,No,Medium,5,High,B
19,F,Graduate,40000,A,98,Low,9,Business,Private,Low,Low,No,High,Low,Medium,Negative,High,44,Yes,9,Healthy,Low,4,Yes,Neutral,Yes,Yes,Auditory,No,Yes,Medium,2,Low,C
22,F,High School,50000,C,72,High,20,Science,Private,Low,High,No,High,High,High,Positive,High,41,No,6,Healthy,Medium,7,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,Low,2,Low,C
21,F,Graduate,40000,C,79,Medium,18,Engineering,Public,High,Low,Yes,High,Low,Medium,Positive,Medium,47,Yes,7,Balanced,Medium,4,Yes,Neutral,No,No,Auditory,Yes,Yes,Medium,6,High,C
22,M,Some College,40000,B,82,High,17,Medicine,Public,Medium,Medium,Yes,High,High,Medium,Neutral,Low,26,No,6,Healthy,Medium,6,No,Positive,No,Yes,Auditory,No,Yes,Medium,6,Medium,B
20,F,Graduate,40000,A,94,High,10,Law,Private,Medium,High,No,Low,Low,Low,Positive,High,37,No,8,Healthy,Low,5,Yes,Positive,No,No,Auditory,No,No,Low,5,Low,A
21,M,College,75000,B,70,Low,9,Engineering,Public,Medium,Medium,Yes,Low,Low,Medium,Neutral,Low,67,No,7,Healthy,Medium,8,Yes,Positive,Yes,Yes,Auditory,No,No,Medium,4,Low,B
21,F,High School,50000,A,96,Medium,20,Arts,Private,High,Low,High,Low,Low,High,Neutral,Medium,41,No,7,Healthy,High,6,Yes,Positive,No,Yes,Auditory,Yes,No,High,6,High,A
20,F,College,50000,A,79,High,20,Business,Private,Medium,High,Yes,Medium,Medium,Low,Positive,Medium,83,Yes,5,Balanced,High,9,No,Negative,No,Yes,Auditory,Yes,Yes,High,5,Low,C
19,M,Graduate,30000,C,75,High,19,Arts,Public,Medium,Low,High,Low,Medium,Medium,Positive,Low,68,No,6,Healthy,Medium,6,Yes,Positive,No,Yes,Auditory,No,Yes,Low,6,Medium,B
18,M,Graduate,60000,C,81,Medium,17,Science,Public,High,Medium,No,Low,High,High,Neutral,Medium,90,No,8,Unhealthy,High,7,No,Positive,Yes,Yes,Kinesthetic,No,Yes,High,2,Low,B
19,F,High School,40000,C,71,Low,20,Arts,Public,Medium,High,Yes,Low,Medium,High,Neutral,High,21,Yes,9,Balanced,Low,7,Yes,Negative,No,No,Visual,No,No,Medium,3,Low,A
21,M,College,50000,A,98,Low,5,Science,Public,Low,Low,No,Medium,Medium,Low,Neutral,High,46,No,9,Unhealthy,High,5,No,Negative,No,Yes,Visual,No,Yes,Medium,4,Low,C
21,F,Some College,60000,C,73,High,15,Law,Public,High,Medium,High,Medium,High,Medium,Positive,High,96,Yes,8,Balanced,High,6,No,Positive,Yes,No,Visual,No,No,High,3,High,B
22,F,High School,30000,A,94,High,9,Law,Private,Medium,Low,No,Medium,Low,Medium,Negative,High,89,Yes,8,Balanced,Low,3,Yes,Positive,No,No,Kinesthetic,No,No,Low,4,High,C
18,M,College,60000,A,93,Low,16,Medicine,Private,Medium,Medium,No,High,Medium,Medium,Neutral,Low,59,No,6,Balanced,High,3,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,High,6,Medium,C
18,M,College,75000,A,80,Medium,12,Business,Public,Medium,Low,No,High,Medium,High,Negative,High,82,Yes,5,Balanced,High,8,No,Neutral,Yes,No,Auditory,No,No,Low,3,Low,A
18,M,Some College,60000,A,91,High,6,Law,Public,High,Low,No,Medium,High,Medium,Positive,Medium,20,Yes,5,Balanced,Medium,9,No,Positive,No,Yes,Visual,Yes,Yes,Low,1,Low,C
22,F,Graduate,40000,A,81,Low,8,Medicine,Public,Low,Low,Yes,Low,Medium,High,Negative,High,41,No,9,Balanced,High,4,No,Negative,Yes,Yes,Visual,Yes,Yes,High,5,High,C
22,M,High School,50000,B,96,High,12,Business,Private,High,Low,Yes,High,Low,High,Neutral,Low,87,Yes,8,Healthy,High,4,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,No,High,4,Low,A
18,F,High School,50000,A,99,Low,8,Business,Private,Low,Medium,Yes,High,Medium,High,Negative,High,29,No,9,Unhealthy,Low,7,No,Neutral,Yes,Yes,Visual,No,Yes,High,3,High,C
21,F,Graduate,60000,C,81,Low,8,Medicine,Public,Low,Low,Yes,Medium,High,Low,Negative,High,33,No,8,Balanced,Medium,5,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,High,2,Low,A
18,F,Graduate,40000,B,77,Low,17,Business,Public,Medium,Medium,No,Medium,High,Medium,Neutral,High,35,No,5,Unhealthy,Medium,7,Yes,Neutral,No,No,Auditory,No,Yes,High,3,Low,C
18,F,Graduate,40000,B,75,Medium,8,Medicine,Public,Medium,Medium,No,Medium,Medium,High,Neutral,Medium,27,Yes,9,Balanced,Low,7,No,Positive,Yes,Yes,Auditory,No,Yes,High,6,Low,A
22,F,College,75000,A,82,Medium,19,Arts,Private,High,High,Yes,Low,Medium,Medium,Neutral,Medium,89,Yes,8,Unhealthy,High,5,No,Negative,No,No,Visual,Yes,Yes,High,3,Medium,C
21,M,High School,75000,A,74,Low,15,Science,Private,High,Low,Yes,High,High,High,Neutral,Low,41,Yes,6,Balanced,Medium,6,Yes,Neutral,No,Yes,Auditory,Yes,No,Low,6,Low,B
22,F,Some College,60000,A,96,High,11,Law,Private,Low,Low,High,High,Medium,Medium,Positive,Low,32,No,5,Balanced,Low,3,No,Negative,No,No,Kinesthetic,Yes,No,Medium,6,High,A
18,M,High School,40000,A,92,Low,17,Science,Public,Medium,High,Yes,High,Low,Medium,Neutral,Medium,44,Yes,4,Healthy,High,5,No,Positive,No,Yes,Visual,Yes,No,Low,2,High,B
19,M,High School,30000,A,84,Low,15,Engineering,Public,Low,Low,No,Low,Medium,Low,Neutral,Medium,21,No,5,Unhealthy,Medium,9,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,3,Low,B
22,F,Graduate,60000,B,97,Medium,13,Business,Public,Medium,High,Yes,Low,High,Low,Neutral,Low,37,Yes,5,Balanced,Low,9,No,Neutral,Yes,Yes,Auditory,Yes,Yes,High,4,Low,C
20,M,Some College,75000,C,70,High,5,Engineering,Public,High,High,No,Low,Medium,Medium,Neutral,High,25,No,6,Unhealthy,Low,10,Yes,Positive,No,Yes,Auditory,Yes,No,High,5,High,C
20,M,High School,40000,A,81,Medium,11,Law,Public,Medium,Low,No,Medium,High,High,Negative,Medium,65,Yes,7,Balanced,Low,9,No,Negative,No,No,Auditory,No,No,High,6,Medium,C
19,F,College,30000,A,98,Low,17,Business,Private,High,Medium,No,High,Medium,Low,Neutral,High,67,Yes,7,Balanced,Medium,2,Yes,Positive,No,Yes,Visual,Yes,Yes,Low,1,High,B
18,F,Graduate,60000,A,81,Medium,6,Law,Private,High,High,Yes,Low,High,Medium,Negative,Low,63,Yes,9,Healthy,High,7,Yes,Negative,No,No,Visual,No,Yes,Medium,3,Medium,A
22,M,Graduate,50000,A,91,Medium,13,Medicine,Public,High,Low,No,Low,Medium,Low,Neutral,High,48,No,5,Unhealthy,Low,8,Yes,Neutral,No,No,Kinesthetic,No,Yes,Low,2,Low,A
22,F,High School,60000,A,70,High,9,Engineering,Public,High,Low,No,Low,Low,Medium,Neutral,High,53,No,9,Unhealthy,Medium,5,No,Neutral,Yes,No,Auditory,Yes,No,Low,1,Medium,C
21,F,Graduate,50000,B,93,Medium,13,Science,Public,Medium,High,No,Low,Medium,Medium,Neutral,High,67,No,5,Healthy,Medium,6,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,4,Medium,B
19,F,Some College,60000,A,93,Medium,16,Law,Public,Low,Low,Yes,Medium,Low,High,Negative,Medium,93,No,6,Balanced,Medium,3,No,Positive,No,Yes,Auditory,No,No,High,5,High,C
19,F,Graduate,30000,C,84,Low,8,Arts,Public,Medium,Low,High,Low,Medium,Medium,Positive,Medium,67,No,8,Balanced,Medium,4,No,Positive,Yes,Yes,Auditory,No,No,High,4,High,A
22,F,Graduate,50000,A,81,High,19,Engineering,Public,Medium,High,No,High,Low,Low,Neutral,Medium,39,No,8,Balanced,Medium,5,No,Neutral,Yes,Yes,Auditory,Yes,Yes,High,1,Medium,C
19,F,Graduate,40000,C,73,Medium,7,Law,Private,Low,Medium,No,High,Medium,Medium,Positive,High,94,No,8,Balanced,Low,6,Yes,Negative,No,No,Auditory,No,Yes,Low,3,High,C
19,M,Graduate,40000,C,99,Low,10,Law,Public,High,Medium,Yes,Low,Low,Medium,Positive,Low,97,Yes,4,Unhealthy,High,4,Yes,Negative,Yes,Yes,Visual,Yes,No,High,4,Low,C
20,F,College,50000,A,78,Low,18,Law,Public,Low,Low,Yes,Low,High,High,Positive,High,39,Yes,9,Healthy,Medium,2,No,Neutral,No,Yes,Auditory,No,No,High,4,Medium,B
20,M,Graduate,50000,C,76,Low,17,Engineering,Private,Medium,High,No,Medium,Medium,Medium,Negative,Medium,41,No,6,Balanced,Medium,6,No,Neutral,No,Yes,Visual,No,No,High,1,High,A
20,M,Some College,40000,B,79,High,17,Medicine,Private,Low,High,Yes,Medium,High,High,Positive,Low,93,Yes,9,Balanced,Low,10,Yes,Neutral,No,Yes,Visual,No,No,High,6,Medium,B
21,F,College,60000,A,91,Low,16,Business,Public,High,Low,No,Low,Low,Low,Positive,High,41,Yes,6,Balanced,Low,5,No,Negative,Yes,Yes,Auditory,No,No,Medium,6,Medium,C
20,M,College,75000,C,91,Medium,17,Medicine,Public,Low,Low,No,Medium,Medium,Medium,Negative,Medium,58,No,7,Unhealthy,High,9,No,Positive,No,Yes,Auditory,Yes,Yes,Low,2,High,B
21,F,Graduate,40000,B,91,High,13,Science,Public,Low,Low,High,High,Medium,Medium,Negative,Low,80,Yes,9,Healthy,Medium,9,Yes,Positive,No,Yes,Kinesthetic,Yes,Yes,High,6,High,C
22,M,College,50000,A,95,Low,9,Law,Private,Medium,Low,Yes,Low,High,Low,Neutral,Medium,46,Yes,5,Unhealthy,High,4,No,Positive,Yes,No,Auditory,Yes,Yes,High,1,High,B
22,M,Graduate,30000,C,89,Low,17,Arts,Public,Medium,Medium,High,High,Low,Medium,Positive,Medium,22,No,7,Unhealthy,Low,8,No,Neutral,No,Yes,Auditory,No,Yes,High,6,Medium,B
22,F,High School,40000,C,85,Medium,5,Business,Private,High,Low,High,Low,Low,Medium,Positive,Medium,45,No,4,Balanced,Low,10,No,Negative,No,No,Visual,Yes,Yes,Low,4,Low,C
22,F,Graduate,60000,A,78,High,7,Science,Public,High,Low,No,Low,High,Low,Positive,High,61,Yes,8,Healthy,High,6,Yes,Negative,Yes,No,Auditory,No,Yes,Low,6,High,C
20,M,Graduate,60000,B,72,High,20,Law,Private,Medium,Low,Yes,High,Medium,Medium,Negative,Low,89,Yes,4,Healthy,High,3,Yes,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,4,Low,C
19,F,Some College,40000,A,95,Medium,8,Law,Public,Low,Medium,Yes,Low,Low,Low,Neutral,High,46,No,4,Unhealthy,Low,7,No,Positive,No,Yes,Auditory,No,Yes,High,1,High,B
20,F,Some College,75000,B,81,Medium,10,Business,Public,High,High,Yes,Low,High,High,Positive,Low,43,No,5,Balanced,Medium,7,No,Negative,No,No,Auditory,No,Yes,Low,3,Low,B
22,M,College,40000,A,81,Low,20,Science,Public,High,Medium,Yes,High,Medium,Low,Neutral,Medium,74,No,6,Healthy,Medium,6,Yes,Positive,No,Yes,Visual,No,No,High,3,Low,C
20,M,Some College,75000,C,97,Medium,18,Science,Private,Medium,Low,No,Medium,Low,Low,Positive,Low,72,No,4,Healthy,High,5,Yes,Negative,No,Yes,Auditory,Yes,No,Medium,4,High,C
20,M,High School,40000,A,77,High,6,Engineering,Public,High,Medium,No,High,Medium,Medium,Negative,Low,44,No,6,Unhealthy,Medium,4,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,Low,5,High,A
20,M,Some College,75000,A,82,Low,12,Engineering,Public,Medium,High,No,Low,Medium,High,Negative,Medium,40,No,8,Healthy,High,10,Yes,Negative,No,No,Auditory,Yes,No,High,6,Low,B
22,F,Some College,30000,A,89,Low,10,Science,Private,Medium,Medium,Yes,High,Low,High,Positive,Low,91,No,7,Balanced,Low,9,Yes,Positive,No,No,Kinesthetic,No,No,Low,3,High,B
22,M,Some College,40000,C,85,Medium,14,Arts,Private,High,High,No,Low,High,High,Positive,Low,95,No,5,Balanced,Low,10,No,Neutral,No,No,Auditory,No,Yes,Low,6,High,B
22,M,High School,30000,B,81,Low,14,Science,Public,Low,High,High,High,Medium,Medium,Negative,High,82,No,9,Healthy,Medium,6,No,Positive,No,Yes,Kinesthetic,No,Yes,High,4,High,B
22,M,Some College,30000,A,89,High,10,Medicine,Public,High,Low,Yes,Low,Low,Low,Neutral,High,60,No,5,Healthy,Medium,4,No,Positive,No,Yes,Visual,Yes,Yes,Low,6,Medium,A
22,F,Some College,60000,C,90,Low,8,Law,Private,High,Medium,Yes,High,Medium,High,Negative,Medium,98,No,5,Balanced,Low,9,Yes,Neutral,No,Yes,Visual,No,No,Low,3,High,B
21,F,Graduate,30000,A,74,Low,17,Medicine,Public,Medium,Medium,No,Medium,High,High,Neutral,High,47,No,5,Balanced,Low,7,Yes,Neutral,No,Yes,Visual,No,Yes,High,2,High,B
21,F,High School,50000,A,81,Low,14,Arts,Public,High,High,Yes,High,Low,Medium,Negative,Low,35,No,5,Unhealthy,Medium,3,Yes,Positive,Yes,No,Kinesthetic,Yes,No,Low,3,High,B
21,M,College,40000,A,78,High,19,Medicine,Public,Medium,Medium,High,Medium,Medium,High,Neutral,High,32,No,8,Healthy,High,5,No,Positive,Yes,No,Auditory,No,Yes,Low,6,Medium,B
18,F,Graduate,50000,C,85,Medium,11,Medicine,Private,High,Low,No,Low,Medium,High,Positive,Low,20,Yes,8,Balanced,Medium,8,No,Negative,Yes,No,Kinesthetic,No,Yes,High,5,High,A
22,F,High School,30000,B,91,High,18,Law,Private,Medium,Low,No,Low,Low,Medium,Positive,Low,41,Yes,5,Unhealthy,Low,5,No,Positive,No,Yes,Kinesthetic,No,Yes,Low,1,Medium,B
22,M,College,50000,A,78,Low,9,Law,Private,High,Low,No,Medium,Medium,Medium,Positive,Medium,41,Yes,5,Healthy,High,5,No,Negative,No,Yes,Auditory,No,No,High,3,High,A
21,F,High School,40000,A,80,Medium,6,Law,Private,High,High,Yes,High,Medium,Low,Positive,Medium,88,No,5,Healthy,Medium,3,No,Neutral,No,No,Auditory,Yes,Yes,High,5,Medium,A
22,M,College,75000,A,79,High,19,Arts,Private,High,Medium,Yes,Low,High,High,Negative,Medium,64,Yes,9,Unhealthy,Medium,6,Yes,Positive,No,Yes,Visual,No,Yes,High,6,Low,B
22,M,College,75000,C,79,Low,11,Business,Private,Low,Medium,No,High,Medium,Medium,Neutral,High,56,No,9,Healthy,Low,6,Yes,Positive,No,No,Auditory,No,Yes,Medium,6,Medium,C
21,M,High School,40000,B,75,High,9,Business,Private,Medium,High,No,Low,High,Medium,Neutral,Low,43,Yes,5,Unhealthy,Low,10,Yes,Neutral,Yes,No,Visual,Yes,Yes,Medium,3,Medium,B
21,M,High School,60000,C,81,Low,7,Arts,Public,Low,Low,No,High,Low,Low,Neutral,High,30,No,8,Balanced,High,6,Yes,Positive,Yes,No,Kinesthetic,No,No,Low,3,Medium,B
19,M,College,60000,C,74,Low,10,Science,Public,Medium,High,Yes,Low,Low,Low,Positive,High,29,No,7,Unhealthy,Medium,10,Yes,Positive,Yes,No,Auditory,No,Yes,High,6,High,C
22,M,High School,40000,B,74,Medium,20,Arts,Public,Medium,Medium,Yes,High,Low,Medium,Negative,Low,71,No,8,Balanced,Low,8,Yes,Positive,No,Yes,Visual,No,No,Low,2,Medium,B
21,M,Graduate,30000,B,81,Low,17,Medicine,Private,Medium,Medium,No,Low,High,Low,Neutral,High,67,No,9,Balanced,Medium,7,No,Positive,Yes,Yes,Auditory,No,No,Medium,1,Medium,B
22,M,College,75000,C,74,Low,14,Medicine,Public,Low,Low,Yes,Low,High,Low,Positive,Low,78,No,5,Balanced,Low,7,No,Positive,Yes,Yes,Auditory,No,Yes,Low,4,Low,B
20,M,Graduate,40000,B,87,Medium,16,Arts,Public,Medium,Medium,Yes,High,Medium,Medium,Negative,Low,90,Yes,5,Balanced,High,2,No,Positive,No,Yes,Kinesthetic,Yes,Yes,High,3,Medium,A
22,M,High School,40000,A,97,High,14,Law,Public,Medium,High,Yes,Low,Low,Low,Neutral,Low,50,Yes,9,Balanced,High,2,Yes,Positive,Yes,No,Auditory,Yes,No,High,6,Medium,B
18,M,High School,30000,C,79,High,16,Law,Public,Medium,High,Yes,Low,Low,Low,Positive,Low,41,No,8,Balanced,Medium,8,Yes,Negative,Yes,Yes,Auditory,Yes,No,Medium,1,Medium,A
22,F,Graduate,75000,B,81,Low,17,Science,Public,High,Medium,No,High,Low,Medium,Negative,Low,96,Yes,6,Unhealthy,Low,6,Yes,Negative,Yes,No,Auditory,No,No,Medium,1,Low,A
19,F,Graduate,75000,C,85,Low,18,Medicine,Private,Medium,Low,High,Medium,Medium,Low,Negative,Medium,74,No,4,Balanced,High,9,No,Positive,Yes,Yes,Kinesthetic,Yes,Yes,Low,3,High,A
19,F,Graduate,60000,A,79,High,17,Science,Private,Low,High,Yes,Low,High,High,Positive,High,67,No,6,Unhealthy,Medium,3,No,Neutral,Yes,No,Visual,No,Yes,Medium,6,Medium,A
20,F,Graduate,60000,C,81,Low,17,Science,Public,Medium,High,No,High,Medium,Medium,Positive,Medium,78,No,9,Unhealthy,High,2,Yes,Positive,Yes,Yes,Auditory,No,No,High,6,Low,A
21,M,Some College,60000,A,73,Low,16,Law,Private,Medium,High,Yes,Low,Medium,High,Negative,Low,70,Yes,6,Healthy,Low,6,Yes,Negative,No,No,Kinesthetic,Yes,No,High,5,Medium,A
22,M,College,75000,A,76,High,14,Business,Public,Medium,Low,Yes,Low,High,Medium,Negative,Medium,100,No,9,Balanced,Medium,10,No,Positive,Yes,No,Kinesthetic,No,No,Medium,6,High,B
20,M,College,30000,B,94,Low,9,Medicine,Public,Medium,Low,Yes,Low,High,Medium,Neutral,Low,67,No,9,Unhealthy,High,6,No,Positive,No,Yes,Visual,Yes,No,Medium,2,Low,C
19,F,Graduate,60000,A,81,Medium,10,Law,Public,High,Medium,Yes,Medium,Medium,Medium,Negative,Medium,27,No,8,Balanced,High,2,No,Neutral,No,No,Kinesthetic,Yes,No,High,5,Low,B
21,F,High School,40000,C,72,Medium,7,Business,Private,High,Low,No,Low,Medium,Medium,Positive,High,48,Yes,5,Healthy,Low,6,Yes,Neutral,No,Yes,Auditory,No,Yes,High,6,Medium,B
20,F,Graduate,75000,C,71,Medium,5,Business,Private,High,High,Yes,High,High,Medium,Positive,Low,42,Yes,4,Unhealthy,High,7,No,Neutral,No,No,Kinesthetic,No,Yes,Medium,4,Medium,A
19,M,High School,50000,C,81,Low,12,Law,Private,Medium,Medium,Yes,Low,Medium,Low,Negative,High,89,No,7,Balanced,High,4,No,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,3,High,B
22,M,High School,30000,B,83,Medium,8,Law,Public,Low,Low,No,High,Medium,Medium,Neutral,High,48,Yes,5,Balanced,High,6,Yes,Neutral,Yes,No,Visual,No,Yes,High,3,High,C
22,M,College,60000,B,72,High,5,Engineering,Private,Medium,Low,Yes,Low,Medium,Medium,Positive,High,45,No,6,Unhealthy,High,4,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,Low,5,Low,A
21,F,High School,60000,A,78,High,12,Law,Public,High,High,No,Medium,High,Medium,Negative,Low,41,No,8,Healthy,Medium,6,No,Positive,No,Yes,Auditory,No,No,High,1,High,A
20,M,Some College,40000,A,97,Medium,14,Law,Private,Medium,Medium,No,High,Low,Medium,Negative,Low,93,No,8,Healthy,Medium,6,Yes,Negative,No,No,Visual,No,No,Low,4,Low,C
21,M,Some College,40000,C,88,Low,9,Science,Public,Medium,Low,No,Medium,Low,High,Negative,Low,41,Yes,4,Balanced,Low,4,Yes,Neutral,Yes,Yes,Auditory,Yes,No,High,6,Medium,C
